"id","l10n_ec_code_taxsupport"
l10n_ec.tax_vat_510_sup_01,"01"
l10n_ec.tax_vat_05_510_sup_01,"01"
l10n_ec.tax_vat_15_510_sup_01,"01"
l10n_ec.tax_vat_510_sup_05,"05"
l10n_ec.tax_vat_05_510_sup_05,"05"
l10n_ec.tax_vat_15_510_sup_05,"05"
l10n_ec.tax_vat_510_sup_06,"06"
l10n_ec.tax_vat_05_510_sup_06,"06"
l10n_ec.tax_vat_15_510_sup_06,"06"
l10n_ec.tax_vat_510_sup_15,"15"
l10n_ec.tax_vat_05_510_sup_15,"15"
l10n_ec.tax_vat_15_510_sup_15,"15"
l10n_ec.tax_vat_511_sup_03,"03"
l10n_ec.tax_vat_05_511_sup_03,"03"
l10n_ec.tax_vat_15_511_sup_03,"03"
l10n_ec.tax_vat_512_sup_04,"04"
l10n_ec.tax_vat_05_512_sup_04,"04"
l10n_ec.tax_vat_15_512_sup_04,"04"
l10n_ec.tax_vat_512_sup_05,"05"
l10n_ec.tax_vat_05_512_sup_05,"05"
l10n_ec.tax_vat_15_512_sup_05,"05"
l10n_ec.tax_vat_512_sup_07,"07"
l10n_ec.tax_vat_05_512_sup_07,"07"
l10n_ec.tax_vat_15_512_sup_07,"07"
l10n_ec.tax_vat_513_sup_01,"01"
l10n_ec.tax_vat_05_513_sup_01,"01"
l10n_ec.tax_vat_15_513_sup_01,"01"
l10n_ec.tax_vat_514_sup_06,"06"
l10n_ec.tax_vat_05_514_sup_06,"06"
l10n_ec.tax_vat_15_514_sup_06,"06"
l10n_ec.tax_vat_515_sup_03,"03"
l10n_ec.tax_vat_05_515_sup_03,"03"
l10n_ec.tax_vat_15_515_sup_03,"03"
l10n_ec.tax_vat_516_sup_07,"07"
l10n_ec.tax_vat_517_sup_02,"02"
l10n_ec.tax_vat_517_sup_04,"04"
l10n_ec.tax_vat_517_sup_05,"05"
l10n_ec.tax_vat_517_sup_07,"07"
l10n_ec.tax_vat_517_sup_15,"15"
l10n_ec.tax_vat_518_sup_02,"02"
l10n_ec.tax_vat_541_sup_02,"02"
l10n_ec.tax_vat_542_sup_02,"02"
l10n_ec.tax_vat_510_08_sup_01,"01"
l10n_ec.tax_vat_545_sup_08,"08"
l10n_ec.tax_vat_05_545_sup_08,"08"
l10n_ec.tax_vat_15_545_sup_08,"08"
l10n_ec.tax_vat_545_sup_08_vat0,"08"
l10n_ec.tax_vat_545_sup_08_vat_exempt,"08"
l10n_ec.tax_vat_545_sup_08_vat_not_charged,"08"
l10n_ec.tax_vat_545_sup_09,"09"
l10n_ec.tax_vat_05_545_sup_09,"09"
l10n_ec.tax_vat_15_545_sup_09,"09"
