"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","invoice_label@fr"
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_16_72","160","Operations during the year 2024","16%","16% 72","16","percent","sale","tax_group_vat_16","","on_payment","pcg_44551","base","invoice","+72B","","","16% 72","Opérations réalisées au cours de l'année 2024"
"","","","","","","","","","","","","tax","invoice","+72T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-72B","","","",""
"","","","","","","","","","","","","tax","refund","-72T","pcg_4455","","",""
"vat_out_16_129","170","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","16%","16% EX 129","16","percent","sale","tax_group_vat_16","False","on_payment","pcg_44551","base","invoice","+129B","","","16% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_15_67","180","Operations during the year 2025","15%","15% 67","15","percent","sale","tax_group_vat_15","","on_payment","pcg_44551","base","invoice","+67B","","","15% 67","Opérations réalisées au cours de l'année 2025"
"","","","","","","","","","","","","tax","invoice","+67T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-67B","","","",""
"","","","","","","","","","","","","tax","refund","-67T","pcg_4455","","",""
"vat_out_15_129","190","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","15%","15% EX 129","15","percent","sale","tax_group_vat_15","False","on_payment","pcg_44551","base","invoice","+129B","","","15% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_14_104","200","Operations before January 1 2024","14%","14% 104","14","percent","sale","tax_group_vat_14","False","on_payment","pcg_44551","base","invoice","+104B","","","14% 104","Opérations réalisées avant le 1er Janvier 2024"
"","","","","","","","","","","","","tax","invoice","+104T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-104B","","","",""
"","","","","","","","","","","","","tax","refund","-104T","pcg_4455","","",""
"vat_out_14_129","210","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","14%","14% EX 129","14","percent","sale","tax_group_vat_14","False","on_payment","pcg_44551","base","invoice","+129B","","","14% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_13_64","220","Operations during the year 2024","13%","13% 64","13","percent","sale","tax_group_vat_13","","on_payment","pcg_44551","base","invoice","+64B","","","13% 64","Opérations réalisées au cours de l'année 2024"
"","","","","","","","","","","","","tax","invoice","+64T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-64B","","","",""
"","","","","","","","","","","","","tax","refund","-64T","pcg_4455","","",""
"vat_out_13_129","230","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","13%","13% EX 129","13","percent","sale","tax_group_vat_13","False","on_payment","pcg_44551","base","invoice","+129B","","","13% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_12_71","240","Operations during the year 2024 or 2025","12%","12% 71","12","percent","sale","tax_group_vat_12","","on_payment","pcg_44551","base","invoice","+71B","","","12% 71","Opérations réalisées au cours de l'année 2024 ou 2025"
"","","","","","","","","","","","","tax","invoice","+71T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-71B","","","",""
"","","","","","","","","","","","","tax","refund","-71T","pcg_4455","","",""
"vat_out_12_129","250","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","12%","12% EX 129","12","percent","sale","tax_group_vat_12","False","on_payment","pcg_44551","base","invoice","+129B","","","12% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_11_70","260","Operations during the year 2024","11%","11% 70","11","percent","sale","tax_group_vat_11","","on_payment","pcg_44551","base","invoice","+70B","","","11% 70","Opérations réalisées au cours de l'année 2024"
"","","","","","","","","","","","","tax","invoice","+70T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-70B","","","",""
"","","","","","","","","","","","","tax","refund","-70T","pcg_4455","","",""
"vat_out_11_129","270","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","11%","11% EX 129","11","percent","sale","tax_group_vat_11","False","on_payment","pcg_44551","base","invoice","+129B","","","11% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_10_63","280","Food pasta other than uncooked, non-stuffed short-shape pasta","10%","10% 63","10","percent","sale","tax_group_vat_10","","on_payment","pcg_44551","base","invoice","+63B","","","10% 63","Pâtes alimentaires autres que les pâtes alimentaires de forme courte non cuites et non farcies"
"","","","","","","","","","","","","tax","invoice","+63T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-63B","","","",""
"","","","","","","","","","","","","tax","refund","-63T","pcg_4455","","",""
"vat_out_10_65","290","Urban transport operations and road transport of passengers and goods","10%","10% 65","10","percent","sale","tax_group_vat_10","","on_payment","pcg_44551","base","invoice","+65B","","","10% 65","Opérations de transport urbain et de transport routier de voyageurs et de marchandises"
"","","","","","","","","","","","","tax","invoice","+65T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-65B","","","",""
"","","","","","","","","","","","","tax","refund","-65T","pcg_4455","","",""
"vat_out_10_73","300","Rental of water meters for non-domestic use","10%","10% 73","10","percent","sale","tax_group_vat_10","","on_payment","pcg_44551","base","invoice","+73B","","","10% 73","Location de compteurs d’eau à usage non domestique"
"","","","","","","","","","","","","tax","invoice","+73T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-73B","","","",""
"","","","","","","","","","","","","tax","refund","-73T","pcg_4455","","",""
"vat_out_10_75","310","Sales operations carried out by producers of electricity generated from renewable energy sources","10%","10% 75","10","percent","sale","tax_group_vat_10","","on_payment","pcg_44551","base","invoice","+75B","","","10% 75","Opérations de vente effectuées par les producteurs de l’énergie électrique produite à partir des énergies renouvelables"
"","","","","","","","","","","","","tax","invoice","+75T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-75B","","","",""
"","","","","","","","","","","","","tax","refund","-75T","pcg_4455","","",""
"vat_out_10_76","320","Photovoltaic panels","10%","10% 76","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+76B","","","10% 76","Panneaux photovoltaïques"
"","","","","","","","","","","","","tax","invoice","+76T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-76B","","","",""
"","","","","","","","","","","","","tax","refund","-76T","pcg_4455","","",""
"vat_out_10_77","330","Solar water heaters","10%","10% 77","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+77B","","","10% 77","Chauffe-eaux solaires"
"","","","","","","","","","","","","tax","invoice","+77T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-77B","","","",""
