"id","name","country_id","name@el"
"l10n_gr_tax_group_3","VAT 3%","base.gr","ΦΠΑ 3%"
"l10n_gr_tax_group_4","VAT 4%","base.gr","ΦΠΑ 4%"
"l10n_gr_tax_group_6","VAT 6%","base.gr","ΦΠΑ 6%"
"l10n_gr_tax_group_9","VAT 9%","base.gr","ΦΠΑ 9%"
"l10n_gr_tax_group_13","VAT 13%","base.gr","ΦΠΑ 13%"
"l10n_gr_tax_group_17","VAT 17%","base.gr","ΦΠΑ 17%"
"l10n_gr_tax_group_24","VAT 24%","base.gr","ΦΠΑ 24%"
"l10n_gr_tax_group_0","VAT 0%","base.gr","ΦΠΑ 0%"
