id,bic,name,country:id
bank_1,BCENECEQ,Banco Central Del Ecuador,base.ec
bank_2,PICHECEQ,Banco Pichincha C.A.,base.ec
bank_3,GUAYECEG,Banco De Guayaquil S.A,base.ec
bank_4,,Banco City Bank,base.ec
bank_5,BMACECEG,Banco Machala,base.ec
bank_6,LOJBECEL,Banco De Loja,base.ec
bank_7,PACIECEG,Banco Del Pacifico,base.ec
bank_8,BINTECEQ,Banco Internacional,base.ec
bank_9,BASAECEG,Banco Amazonas,base.ec
bank_10,AUSTECEQ,Banco Del Austro,base.ec
bank_11,PRODECEQ,Produbanco / Promerica,base.ec
bank_12,BBOLECEG,Banco Bolivariano,base.ec
bank_13,,Banco Comercial De Manabi,base.ec
bank_14,BGRMECEQ,Banco General Ruminahui S.A.,base.ec
bank_15,LITBECEF,Banco Del Litoral S.A.,base.ec
bank_16,BNSLECEQ,Banco Solidario,base.ec
bank_17,PRCBECEQ,Banco Procredit S.A.,base.ec
bank_18,,Banco Capital,base.ec
bank_19,CODSECEQ,Banco Desarrollo De Los Pueblos S.A.,base.ec
bank_20,,Banecuador B.P.,base.ec
bank_21,CJEPECEQ,COOPERATIVA DE AHORRO Y CREDITO JUVENTUD ECUATORIANA PROGRESISTA LTDA.,base.ec
bank_22,,Coop. Jardin Azuayo,base.ec
bank_23,,Coop.De Ahorro Y Credito Policia Nacional,base.ec
bank_24,,Financoop,base.ec
bank_25,,Banco Delbank S.A.,base.ec
bank_26,,Banco Ecuatoriano De La Vivienda,base.ec
bank_27,,Cacpeco Ltda,base.ec
bank_28,DICDECEQ,DINERS CLUB DEL ECUADOR S.A.,base.ec
bank_29,MUPIECEQ,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,base.ec
bank_30,,Coop. Ahorro Y Credito 29 De Octubre,base.ec
bank_31,,Coop. Ahorro Y Credito Andalucia,base.ec
bank_32,,Coop. Ahorro Y Credito Cotocollao,base.ec
bank_33,,Coop. Ahorro Y Credito El Sagrario,base.ec
bank_34,,Coop. Ahorro Y Credito Guaranda Ltda,base.ec
bank_35,,Coop. Juventud Ecuatoriana Progresista Ltda.,base.ec
bank_36,,Coop. Ahorro Y Credito Manuel,base.ec
bank_37,,Coop. Ahorro Y Credito Oscus,base.ec
bank_38,,Coop. Ahorro Y Credito Pablo Munoz Vega,base.ec
bank_39,,Coop. Ahorro Y Credito Progreso,base.ec
bank_40,,Coop. Ahorro Y Credito Riobamba,base.ec
bank_41,,Coop. Ahorro Y Credito San Francisco,base.ec
bank_42,,Coop. Ahorro Y Credito Tulcan,base.ec
bank_43,,Coop. De Ahorro Y Credito Atuntaqui Ltda.,base.ec
bank_44,,Coop. De Ahorro Y Credito Comercio Ltda Portoviejo,base.ec
bank_45,,Coop. De Ahorro Y Credito La Dolorosa Ltda,base.ec
bank_46,,Coop. Prevision Ahorro Y Desarrollo,base.ec
bank_47,,Coop.Ahorro Y Credito Alianza Del Valle Ltda,base.ec
bank_48,,Coop Ahorro Y Credito Constrc Comercio Y Produc,base.ec
bank_49,,Coop.Ahorro Y Credito Chone Ltda,base.ec
