id,code,name,state_id:id
l10n_tr_nilvera_einvoice_extended_tax_office_001,101,Akseki Malmüdürlüğü,base.state_tr_07
l10n_tr_nilvera_einvoice_extended_tax_office_002,101,Göynücek Malmüdürlüğü,base.state_tr_05
l10n_tr_nilvera_einvoice_extended_tax_office_003,101,Ardanuç Malmüdürlüğü,base.state_tr_08
l10n_tr_nilvera_einvoice_extended_tax_office_004,101,Diyadin Malmüdürlüğü,base.state_tr_04
l10n_tr_nilvera_einvoice_extended_tax_office_005,101,Besni Malmüdürlüğü,base.state_tr_02
l10n_tr_nilvera_einvoice_extended_tax_office_006,101,Bozdoğan Malmüdürlüğü,base.state_tr_09
l10n_tr_nilvera_einvoice_extended_tax_office_007,10102,Balya Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_008,10110,Havran Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_009,10111,İvrindi Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_010,10112,Kepsut Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_011,10113,Manyas Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_012,10114,Savaştepe Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_013,10117,Marmara Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_014,10118,Gömeç Malmüdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_015,102,Çelikhan Malmüdürlüğü,base.state_tr_02
l10n_tr_nilvera_einvoice_extended_tax_office_016,102,Ayaş Malmüdürlüğü,base.state_tr_06
l10n_tr_nilvera_einvoice_extended_tax_office_017,10201,Karesi Vergi Dairesi Müdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_018,10260,Ayvalık Vergi Dairesi Müdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_019,10261,Bandırma Vergi Dairesi Müdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_020,10262,Burhaniye Vergi Dairesi Müdürlüğü,base.state_tr_10
l10n_tr_nilvera_einvoice_extended_tax_office_021,10263,Edremit Vergi Dairesi Müdürlüğü,base.state_tr_10
