"id","name","code","account_type","note","chart_template_id/id","nocreate","reconcile"
"chartgr_10_00","Γήπεδα-Οικόπεδα","10.00","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_01","Ορυχεία","10.01","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_02","Μεταλλεία","10.02","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_03","Λατομεία","10.03","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_04","Αγροί","10.04","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_05","Φυτείες","10.05","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_06","Δάση","10.06","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_10","Γήπεδα-Οικόπεδα εκτός εκμετάλλευσης","10.10","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_11","Ορυχεία εκτός εκμετάλλευσης","10.11","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_12","Μεταλλεία  εκτός εκμετάλλευσης","10.12","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_13","Λατομεία  εκτός εκμετάλλευσης","10.13","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_14","Αγροί  εκτός εκμετάλλευσης","10.14","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_15","Φυτείες  εκτός εκμετάλλευσης","10.15","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_16","Δάση εκτός εκμετάλλευσης","10.16","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_99","Αποσβεσμένες εδαφικές εκτάσεις","10.99","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_00","Κτίρια - Εγκαταστάσεις Κτιρίων","11.00","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_01","Τεχνικά έργα εξυπηρετήσεις μεταφορών","11.01","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_02","Λοιπά τεχνικά έργα","11.02","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_03","Υποκείμενες σε απόσβεση διαμορφώσεις γηπέδων","11.03","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_07","Κτίρια - Εγκαταστάσεις Κτιρίων σε ακίνητα τρίτων","11.07","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_08","Τεχνικά έργα εξυπηρετήσεις μεταφορών σε ακίνητα τρίτων","11.08","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_09","Λοιπά τεχνικά έργα σε ακίνητα τρίτων","11.09","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_10","Υποκείμενες σε απόσβεση διαμορφώσεις γηπέδων τρίτων","11.10","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_14","Κτίρια - Εγκαταστάσεις κτιρίων εκτός εκμετάλλευσης","11.14","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_15","Τεχνικά έργα εξυπηρέτησης μεταφορών εκτός εκμετάλλευσης","11.15","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_16","Λοιπά έργα εκτός εκμετάλλευσης","11.16","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_17","Υποκείμενες σε απόσβεση διαμορφώσεις γηπέδων εκτός εκμετάλλευσης","11.17","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_21","Κτίρια - Εγκαταστάσεις Κτιρίων σε ακίνητα τρίτων εκτός εκμετάλλευσης","11.21","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_22","Τεχνικά έργα εξυπηρέτησης μεταφορών σε ακίνητα τρίτων εκτός εκμετ/σης","11.22","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_23","Λοιπά τεχνικά έργα σε ακίνητα τρίτων εκτός εκμετάλλευσης","11.23","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_24","Υποκείμενες σε απόσβεση διαμορφώσεις γηπέδων τρίτων εκτός εκμετ/σης","11.24","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_99","Αποσβεσμένα κτίρια – εγκαταστάσεις κτιρίων - Τεχνικά έργα","11.99","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_00","Μηχανήματα","12.00","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_01","Τεχνικές Εγκαταστάσεις","12.01","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_02","Φορητά Μηχανήματα χεριού","12.02","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_03","Εργαλεία","12.03","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_04","Καλούπια - Ιδιοκατασκευές","12.04","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_05","Μηχανολογικά όργανα","12.05","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_06","Λοιπός μηχανολογικός εξοπλισμός","12.06","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_07","Μηχανήματα σε ακίνητα τρίτων","12.07","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_08","Τεχνικές Εγκαταστάσεις σε ακίνητα τρίτων","12.08","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_09","Λοιπός μηχανολογικός εξοπλισμός σε ακίνητα τρίτων","12.09","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_10","Μηχανήματα εκτός εκμετάλλευσης","12.10","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_11","Τεχνικές εγκαταστάσεις εκτός εκμετάλλευσης","12.11","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_12","Φορητά Μηχανήματα χεριού εκτός εκμετάλλευσης","12.12","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_13","Εργαλεία εκτός εκμετάλλευσης","12.13","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_14","Καλούπια - Ιδιοκατασκευές εκτός εκμετάλλευσης","12.14","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_15","Μηχανολογικά όργανα εκτός εκμετάλλευσης","12.15","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_16","Λοιπός μηχανολογικός εξοπλισμός εκτός εκμετάλλευσης","12.16","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_17","Μηχανήματα σε ακίνητα τρίτων εκτός εκμετάλλευσης","12.17","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_18","Τεχνικές Εγκαταστάσεις σε ακίνητα τρίτων εκτός εκμετάλλευσης","12.18","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_19","Λοιπός μηχανολογικός εξοπλισμός σε ακίνητα τρίτων εκτός εκμετάλλευσης","12.19","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_99_00","Αποσβεσμένα  μηχανήματα ","12.99.00","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_99_01","Αποσβεσμένες τεχνικές εγκαταστάσεις","12.99.01","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_99_02","Αποσβεσμένα φορητά μηχανήματα ""χειρός""","12.99.02","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_00","Αυτοκίνητα - λεωφορεία","13.00","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_01","Λοιπά επιβατικά αυτοκίνητα","13.01","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_02","Αυτοκίνητα Φορτηγά - Ρυμούλκες - Ειδικής Χρήσης","13.02","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_03","Σιδηροδρομικά οχήματα","13.03","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_04","Πλωτά μέσα","13.04","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_05","Εναέρια μέσα","13.05","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_06","Μέσα εσωτερικών μεταφορών","13.06","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_09","Λοιπά μέσα μεταφοράς","13.09","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_10","Αυτοκίνητα λεωφορεία εκτός εκμετάλλευσης","13.10","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_11","Λοιπά επιβατικά αυτοκίνητα εκτός εκμετάλλευσης","13.11","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_12","Αυτοκίνητα Φορτηγά - Ρυμούλκες - Ειδικής Χρήσης εκτός εκμετάλλευσης","13.12","asset_current","","l10n_gr.l10n_gr_chart_template","False","False"
