id,code,name,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
a1010,1010,Utvecklingsutgifter,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1011,1011,Balanserade utgifter för utveckling,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1012,1012,Balanserade utgifter för programvaror,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1018,1018,Ackumulerade nedskrivningar på balanserade utgifter,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1019,1019,Ackumulerade avskrivningar på balanserade utgifter,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1081,1081,Pågående projekt för immateriella anläggningstillgångar,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1088,1088,Förskott för immateriella anläggningstillgångar,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_1,False
a1260,1260,Leasade tillgångar,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_2,False
a1269,1269,Ackumulerade avskrivningar på leasade tillgångar,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_2,False
a1370,1370,Uppskjuten skattefordran,account.data_account_type_non_current_assets,l10nse_chart_template_K3,l10n_se.account_tag_3,False
a2092,2092,Mottagna/Lämnade koncernbidrag,account.data_account_type_equity,l10nse_chart_template_K3,"l10n_se.account_tag_40",False
a2096,2096,Fond för verkligt värde,account.data_account_type_equity,l10nse_chart_template_K3,"l10n_se.account_tag_11",False
a2240,2240,Avsättningar för uppskjutna skatter,account.data_account_type_non_current_liabilities,l10nse_chart_template_K3,l10n_se.account_tag_19,False
a3940,3940,Orealiserade negativa/positiva värdeförändringar på säkringsinstrument,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_31,False
a7940,7940,Orealiserade positiva/negativa värdeförändringar på säkringsinstrument,account.data_account_type_expenses,l10nse_chart_template_K3,"l10n_se.account_tag_32",False
a8290,8290,"Värdering till verkligt värde, anläggningstillgångar",account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8291,8291,Orealiserade värdeförändringar på anläggningstillgångar,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8295,8295,Orealiserade värdeförändringar på derivatinstrument,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8320,8320,"Värdering till verkligt värde, omsättningstillgångar",account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8321,8321,Orealiserade värdeförändringar på omsättningstillgångar,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8325,8325,Ränteintäkter från omsättningstillgångar,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8450,8450,Orealiserade värdeförändringar på skulder,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8451,8451,Orealiserade värdeförändringar på skulder,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8455,8455,Orealiserade värdeförändringar på säkringsinstrument,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8480,8480,Aktiverade ränteutgifter,account.data_account_type_other_income,l10nse_chart_template_K3,l10n_se.account_tag_33,False
a8940,8940,Uppskjuten skatt,account.data_account_type_expenses,l10nse_chart_template_K3,l10n_se.account_tag_35,False
