id,name,sequence,country_id,name@mn
account_tax_group1,Goods subject to VAT,10,base.mn,НӨАТ ногдох бараа
account_tax_group2,Services subject to VAT,10,base.mn,НӨАТ ногдох үйлчилгээ
account_tax_group3,Export sales,11,base.mn,Экспортын борлуулалт
account_tax_group4,Purchased goods and services,12,base.mn,"Худалдан авсан бараа, үйлчилгээ"
account_tax_group5,Finance lease item,13,base.mn,Санхүүгийн түрээсийн зүйл
account_tax_group6,Exemption from VAT,14,base.mn,НӨАТ-с чөлөөлөгдөх
