"id","sequence","name","auto_apply","vat_required","country_id"
"l10n_ph_fiscal_position_vatable","1","VATable","1","1","base.ph"
"l10n_ph_fiscal_position_vat_exempt","2","VAT Exempt","0","1","base.ph"
"l10n_ph_fiscal_position_peza","3","PEZA","0","1","base.ph"
"l10n_ph_fiscal_position_foreign","4","Foreign","1","",""
"l10n_ph_fiscal_position_discount_privileges","5","Discount Privileges","0","","base.ph"
