"id","name","country_id:id","tax_payable_account_id","tax_receivable_account_id"
"l10n_ph_tax_group_vatable","VATable","base.ph","l10n_ph_account_202010","l10n_ph_account_103040"
"l10n_ph_tax_group_zero_rated","Zero-Rated","base.ph","l10n_ph_account_202010","l10n_ph_account_103040"
"l10n_ph_tax_group_vat_exempt","VAT Exempt","base.ph","l10n_ph_account_202010","l10n_ph_account_103040"
"l10n_ph_tax_group_withholding_tax","Withholding Tax","base.ph","l10n_ph_account_202020","l10n_ph_account_103050"
"l10n_ph_tax_group_vat_discount","VAT Discount","base.ph","",""
"l10n_ph_tax_group_adjustments","Adjustments","base.ph","",""
