"id","name","country_id","tax_receivable_account_id","tax_payable_account_id","advance_tax_payment_account_id","name@de"
"tax_group_0","USt 0%","base.de","chart_skr04_1421","chart_skr04_3860","chart_skr04_3820","USt 0%"
"tax_group_7","USt 7%","base.de","chart_skr04_1421","chart_skr04_3860","chart_skr04_3820","USt 7%"
"tax_group_55","USt 5,5%","base.de","chart_skr04_1421","chart_skr04_3860","chart_skr04_3820","USt 5,5%"
"tax_group_107","USt 10,7%","base.de","chart_skr04_1421","chart_skr04_3860","chart_skr04_3820","USt 10,7%"
"tax_group_x","USt x%","base.de","chart_skr04_1421","chart_skr04_3860","chart_skr04_3820","USt x%"
"tax_group_19","USt 19%","base.de","chart_skr04_1421","chart_skr04_3860","chart_skr04_3820","USt 19%"
