"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","invoice_label@fr"
"","","","","","","","","","","tax","refund","-160T","pcg_34551","","",""
"vat_in_7_152","750","Domestic purchases other than fixed assets","7%","7% 152","7","percent","purchase","tax_group_vat_7","","base","invoice","","","","7% 152","Achats non immobilisés à l'interieur"
"","","","","","","","","","","tax","invoice","+152T","pcg_34552","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-152T","pcg_34552","","",""
"vat_in_7_151","760","Import purchases other than fixed assets","7%","7% EX 151","7","percent","purchase","tax_group_vat_7","False","base","invoice","+129B","","","7% EX 151","Achats non immobilisés à l'importation"
"","","","","","","","","","","tax","invoice","+151T","pcg_34552","","",""
"","","","","","","","","","","tax","invoice","-129T","pcg_4455","-100","",""
"","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","tax","refund","-151T","pcg_34552","","",""
"","","","","","","","","","","tax","refund","+129T","pcg_4455","-100","",""
"vat_in_7_169","770","Other fixed assets","7%","7% IG 169","7","percent","purchase","tax_group_vat_7","False","base","invoice","","","","7% IG 169","Autres immobilisations"
"","","","","","","","","","","tax","invoice","+169T","pcg_34551","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","-169T","pcg_34551","","",""
