"id","name","auto_apply","vat_required","country_id","sequence","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@lt"
"account_fiscal_position_template_lt","LT","1","1","base.lt","10","","","","LT"
"account_fiscal_position_template_eu","EU","1","1","","20","base.europe","account_tax_template_sales_21","account_tax_template_sales_0_vat13","ES"
"","","","","","","","account_tax_template_purchase_21","account_tax_template_purchase_assumed_21",""
"account_fiscal_position_template_b2c_eu","B2C EU","1","0","","25","base.europe","","","B2C ES"
"account_fiscal_position_template_out_eu","Not EU","1","","","30","","account_tax_template_sales_21","account_tax_template_sales_0_vat12","Ne ES"
"","","","","","","","account_tax_template_purchase_21","account_tax_template_purchase_0",""
