"id","year","value","resolution","company_id"
"uvt_2020","2020","35607","Res. 000084 de 2019",""
"uvt_2021","2021","36308","Res. 000111 de 2020",""
"uvt_2022","2022","38004","Res. 000140 de 2021",""
"uvt_2023","2023","42412","Res. 001264 de 2022",""
"uvt_2024","2024","47065","Res. 001187 de 2023",""
"uvt_2025","2025","49799","Res. 000187 de 2024",""
"uvt_2026","2026","52374","Res. 000238 de 2025",""
