"id","name","sequence","is_vat","name@es_419","name@pt_BR"
"l10n_latam_base.it_vat","VAT","80","TRUE","NIF","CNPJ"
"l10n_latam_base.it_pass","Passport","90","","Pasaporte","Passaporte"
"l10n_latam_base.it_fid","Foreign ID","100","","ID Extranjera","ID estrangeiro"
