"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"tva_sale_25","25%","","","25.0","percent","sale","tax_group_25","base","invoice","","base_25","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","tax_25","","","","",""
"","","","","","","","","base","refund","","base_25","","","","",""
"","","","","","","","","tax","refund","pcg_4431","tax_25","","","","",""
"tva_sale_10","10%","","","10.0","percent","sale","tax_group_10","base","invoice","","base_10","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","tax_10","","","","",""
"","","","","","","","","base","refund","","base_10","","","","",""
"","","","","","","","","tax","refund","pcg_4431","tax_10","","","","",""
"tva_sale_7_5","7.5%","","","7.5","percent","sale","tax_group_7_5","base","invoice","","base_7_5","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","tax_7_5","","","","",""
"","","","","","","","","base","refund","","base_7_5","","","","",""
"","","","","","","","","tax","refund","pcg_4431","tax_7_5","","","","",""
"tva_sale_5","5%","","","5.0","percent","sale","tax_group_5","base","invoice","","base_5","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","tax_5","","","","",""
"","","","","","","","","base","refund","","base_5","","","","",""
"","","","","","","","","tax","refund","pcg_4431","tax_5","","","","",""
"tva_sale_3","3%","","","3.0","percent","sale","tax_group_3","base","invoice","","base_3","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","tax_3","","","","",""
"","","","","","","","","base","refund","","base_3","","","","",""
"","","","","","","","","tax","refund","pcg_4431","tax_3","","","","",""
"tva_purchase","0%","","","0.0","percent","purchase","tax_group_0","base","invoice","","","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_export_0","0% EX","0% (export)","","0.0","","sale","tax_group_0","base","invoice","","km_export","","","0% (exportation)","fiscal_position_template_2","tva_sale_5,tva_sale_25,tva_sale_3,tva_sale_7_5,tva_sale_10"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","km_export","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_exempt_0","0%","0% (exempt)","","0.0","","sale","tax_group_0","base","invoice","","km_exempt","","","0% (exonéré)","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","km_exempt","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
