"id","name","name@fr"
"tax_group_0","VAT 0%","T.V.A. 0%"
"tax_group_3","VAT 3%","T.V.A. 3%"
"tax_group_5","VAT 5%","T.V.A. 5%"
"tax_group_7_5","VAT 7.5%","T.V.A. 7.5%"
"tax_group_10","VAT 10%","T.V.A. 10%"
"tax_group_25","VAT 25%","T.V.A. 25%"
