"id","name","country_id","tax_payable_account_id","tax_receivable_account_id","name@nb_NO"
"tax_group_0","VAT 0%","base.no","chart2740","chart2740","MVA 0%"
"tax_group_10","VAT 10%","base.no","chart2740","chart2740","MVA 10%"
"tax_group_12","VAT 12%","base.no","chart2740","chart2740","MVA 12%"
"tax_group_15","VAT 15%","base.no","chart2740","chart2740","MVA 15%"
"tax_group_25","VAT 25%","base.no","chart2740","chart2740","MVA 25%"
